,Time,Media,Plate,Well,Sample,Strain,Strain2,Phylum,Class,Order,Family,Genus,Phylum_alternative,OD600
1384,T1W,Glucose,P1.3,D4, S22 ,R147,Root147,Firmicutes,Bacilli,Bacillales,Bacillaceae,#REF!,Firmicutes,0.143800005
1385,T1W,Glucose,P1.3,D5, S23 ,R149,Root149,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Alphaproteobacteria,0.221200004
1386,T1W,Glucose,P1.3,D6, S24 ,R157,Root157,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Alphaproteobacteria,0.267199993
1387,T1W,3OMG,P1.3,D7, S19 ,R135,Root135,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Actinobacteria,0.098700002
1388,T1W,3OMG,P1.3,D8, S20 ,R136,Root136,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Nocardia,Actinobacteria,0.255800009
1389,T1W,3OMG,P1.3,D9, S21 ,R140,Root140,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,Actinobacteria,0.102399997
1390,T1W,3OMG,P1.3,D10,S22,R147,Root147,Firmicutes,Bacilli,Bacillales,Bacillaceae,#REF!,Firmicutes,0.086199999
1391,T1W,3OMG,P1.3,D11,S23,R149,Root149,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Alphaproteobacteria,0.083800003
1392,T1W,3OMG,P1.3,D12,S24,R157,Root157,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Alphaproteobacteria,0.208900005
1393,T1W,Glucose,P1.3,E1,S25,R166,Root166,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,Actinobacteria,0.089000002
1394,T1W,Glucose,P1.3,E2,S26,R170,Root170,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Betaproteobacteria,0.085500002
