	locus_name	symbol	full_name
6053	AT1G71270	VPS52	NULL
6054	AT1G71310	ODB1	Organellar DNA-Binding protein 1
6055	AT1G71310	RAD52-1	radiation sensitive 52-1
6056	AT1G71310	RAD52-1A	NULL
6057	AT1G71310	RAD52-1B.1	NULL
6058	AT1G71310	RAD52-1B.2	NULL
6059	AT1G71330	ATNAP5	non-intrinsic ABC protein 5
6060	AT1G71330	NAP5	non-intrinsic ABC protein 5
6061	AT1G71340	AtGDPD4	NULL
6062	AT1G71340	GDPD4	glycerophosphodiester phosphodiesterase 4
6063	AT1G71360	AtSUN4	NULL
6064	AT1G71360	SUN4	SUN-domain protein 4
6065	AT1G71380	ATCEL3	cellulase 3
6066	AT1G71380	ATGH9B3	ARABIDOPSIS THALIANA GLYCOSYL HYDROLASE 9B3
6067	AT1G71380	CEL3	cellulase 3
6068	AT1G71390	AtRLP11	receptor like protein 11
6069	AT1G71390	RLP11	receptor like protein 11
6070	AT1G71400	AtRLP12	receptor like protein 12
6071	AT1G71400	RLP12	receptor like protein 12
6072	AT1G71410	SCYL2B	NULL
6073	AT1G71440	PFI	PFIFFERLING
6074	AT1G71440	TFC E	TUBULIN-FOLDING COFACTOR E
6075	AT1G71450	FUF1	FYF UP-REGULATING 321 FACTOR 1
6076	AT1G71500	LIL8	Light-harvesting-like 8
6077	AT1G71500	PSB33	PhotoSystem B protein 33
6078	AT1G71692	AGL12	AGAMOUS-like 12
6079	AT1G71692	XAL1	XAANTAL1
6080	AT1G71696	SOL1	SUPPRESSOR OF LLP1 1
6081	AT1G71697	ATCK1	choline kinase 1
6082	AT1G71697	CEK1	choline/ethanolamine kinase 1
6083	AT1G71697	CK	CHOLINE KINASE
6084	AT1G71697	CK1	choline kinase 1
6085	AT1G71720	BSF	petB/petD Stabilizing Factor
6086	AT1G71720	PBR1	photosystem biogenesis regulator 1
6087	AT1G71720	PDE338	PIGMENT DEFECTIVE 338
6088	AT1G71720	RLSB	RbcL mRNA S1 binding domain protein
6089	AT1G71750	HGPT	Hypoxanthine-guanine phosphoribosyltransferase
6090	AT1G71770	PAB5	poly(A)-binding protein 5
6091	AT1G71790	AtCPB	NULL
