	Rep	Medium	Microbes	Carbon	Carbon2	Rep	Time	Area	Length
339	R1	MS	F16	Water	Water	39	72h	0.135	1.569
340	R1	MS	F16	Water	Water	40	72h	0.135	1.571
341	R1	MS	F16	Water	Water	41	72h	0.121	1.389
342	R1	MS	F16	Water	Water	42	72h	0.121	1.413
343	R1	MS	F16	Water	Water	43	72h	0.135	1.554
344	R1	MS	F16	Water	Water	44	72h	0.128	1.463
345	R1	MS	F16	Water	Water	45	72h	0.064	0.699
346	R1	MS	F16	Water	Water	46	72h	0.121	1.431
347	R1	MS	F16	Water	Water	47	72h	0.156	1.807
348	R1	MS	F16	Water	Water	48	72h	0.135	1.576
349	R1	MS	F16	Water	Water	49	72h	0.107	1.227
350	R1	MS	F16	Water	Water	50	72h	0.234	2.731
351	R1	MS	F16	OM.Glucose	Glucose	1	72h	0.121	1.381
352	R1	MS	F16	OM.Glucose	Glucose	2	72h	0.156	1.805
353	R1	MS	F16	OM.Glucose	Glucose	3	72h	0.149	1.696
354	R1	MS	F16	OM.Glucose	Glucose	4	72h	0.114	1.265
355	R1	MS	F16	OM.Glucose	Glucose	5	72h	0.121	1.381
356	R1	MS	F16	OM.Glucose	Glucose	6	72h	0.178	2.103
357	R1	MS	F16	OM.Glucose	Glucose	7	72h	0.099	1.129
358	R1	MS	F16	OM.Glucose	Glucose	8	72h	0.078	0.837
359	R1	MS	F16	OM.Glucose	Glucose	9	72h	0.156	1.789
360	R1	MS	F16	OM.Glucose	Glucose	10	72h	0.149	1.716
361	R1	MS	F16	OM.Glucose	Glucose	11	72h	0.099	1.231
362	R1	MS	F16	OM.Glucose	Glucose	12	72h	0.149	1.679
363	R1	MS	F16	OM.Glucose	Glucose	13	72h	0.135	1.508
364	R1	MS	F16	OM.Glucose	Glucose	14	72h	0.156	1.77
365	R1	MS	F16	OM.Glucose	Glucose	15	72h	0.107	1.198
366	R1	MS	F16	OM.Glucose	Glucose	16	72h	0.114	1.271
367	R1	MS	F16	OM.Glucose	Glucose	17	72h	0.121	1.298
368	R1	MS	F16	OM.Glucose	Glucose	18	72h	0.178	1.788
