1	Well	Plate_ID	OD600	Plecto_ID	Plecto_ID2	Condition	Replicate
269	G4	Plecto_MF_3	0.093400002	P34	P34	MF	3
270	G5	Plecto_MF_3	0.091700003	P35	P35	MF	3
271	G6	Plecto_MF_3	0.090400003	P36	P36	MF	3
272	G7	Plecto_MF_3	0.091200002	P38	P38	MF	3
273	G8	Plecto_MF_3	0.087700002	P39	P39	MF	3
274	G9	Plecto_MF_3	0.088299997	P40	P40	MF	3
275	G10	Plecto_MF_3	0.089199997	P41	P41	MF	3
276	G11	Plecto_MF_3	0.092500001	P42	P42	MF	3
277	G12	Plecto_MF_3	0.094400004	P43	P43	MF	3
278	H1	Plecto_MF_3	0.092399999	P44	P44	MF	3
279	H2	Plecto_MF_3	0.090099998	P45	P45	MF	3
280	H3	Plecto_MF_3	0.091300003	P46	P46	MF	3
281	H4	Plecto_MF_3	0.092100002	P47	P47	MF	3
282	H5	Plecto_MF_3	0.091499999	P48	P48	MF	3
283	H6	Plecto_MF_3	0.088799998	P49	P49	MF	3
284	H7	Plecto_MF_3	0.0898	P50	P50	MF	3
285	H8	Plecto_MF_3	0.092399999	P51	P51	MF	3
286	H9	Plecto_MF_3	0.093800001	P52	P52	MF	3
287	H10	Plecto_MF_3	0.098800004	P54	P54	MF	3
288	H11	Plecto_MF_3	0.093099996	P55	P55	MF	3
289	H12	Plecto_MF_3	0.103600003	P56	P56	MF	3
290	A1	Plecto_MF_4	0.095399998	P57	P57	MF	4
291	A2	Plecto_MF_4	0.0995	P58	P58	MF	4
292	A3	Plecto_MF_4	0.095399998	P59	P59	MF	4
293	A4	Plecto_MF_4	0.101000004	P60	P60	MF	4
294	A5	Plecto_MF_4	0.096299998	P61	P61	MF	4
295	A6	Plecto_MF_4	0.1008	P62	P62	MF	4
296	A7	Plecto_MF_4	0.0942	P63	P63	MF	4
297	A8	Plecto_MF_4	0.104199998	P64	P64	MF	4
298	A9	Plecto_MF_4	0.095899999	P65	P65	MF	4
299	A10	Plecto_MF_4	0.096500002	P66	P66	MF	4
300	A11	Plecto_MF_4	0.091300003	P67	P67	MF	4
301	A12	Plecto_MF_4	0.096299998	P68	P68	MF	4
302	B1	Plecto_MF_4	0.100000001	P117	P117	MF	4
303	B2	Plecto_MF_4	0.096000001	P143	P143	MF	4
304	B3	Plecto_MF_4	0.089699998	P340	P340	MF	4
305	B4	Plecto_MF_4	0.090599999	P421	P421	MF	4
306	B5	Plecto_MF_4	0.091700003	P455	P455	MF	4
307	B6	Plecto_MF_4	0.090099998	P612	P612	MF	4
308	B7	Plecto_MF_4	0.082800001	MgCl2	MgCl2	MF	4
309	B8	Plecto_MF_4	0.084700003	MgCl2	MgCl2	MF	4
310	B9	Plecto_MF_4	0.084700003	MgCl2	MgCl2	MF	4
311	B10	Plecto_MF_4	0.084799998	MgCl2	MgCl2	MF	4
312	B11	Plecto_MF_4	0.085100003	MgCl2	MgCl2	MF	4
313	B12	Plecto_MF_4	0.086199999	MgCl2	MgCl2	MF	4
314	C1	Plecto_MF_4	0.089199997	Empty	Empty	MF	4
315	C2	Plecto_MF_4	0.086099997	Empty	Empty	MF	4
316	C3	Plecto_MF_4	0.082699999	Empty	Empty	MF	4
317	C4	Plecto_MF_4	0.083400004	Empty	Empty	MF	4
318	C5	Plecto_MF_4	0.082500003	Empty	Empty	MF	4
319	C6	Plecto_MF_4	0.084100001	Empty	Empty	MF	4
320	C7	Plecto_MF_4	0.084799998	Empty	Empty	MF	4
321	C8	Plecto_MF_4	0.085100003	Empty	Empty	MF	4
322	C9	Plecto_MF_4	0.084200002	Empty	Empty	MF	4
323	C10	Plecto_MF_4	0.083499998	Empty	Empty	MF	4
324	C11	Plecto_MF_4	0.0867	Empty	Empty	MF	4
325	C12	Plecto_MF_4	0.0867	Empty	Empty	MF	4
326	D1	Plecto_MF_4	0.088399999	Empty	Empty	MF	4
327	D2	Plecto_MF_4	0.083800003	Empty	Empty	MF	4
328	D3	Plecto_MF_4	0.083700001	Empty	Empty	MF	4
329	D4	Plecto_MF_4	0.084600002	Empty	Empty	MF	4
330	D5	Plecto_MF_4	0.083099999	Empty	Empty	MF	4
331	D6	Plecto_MF_4	0.083700001	Empty	Empty	MF	4
332	D7	Plecto_MF_4	0.083999999	Empty	Empty	MF	4
333	D8	Plecto_MF_4	0.084100001	Empty	Empty	MF	4
334	D9	Plecto_MF_4	0.0836	Empty	Empty	MF	4
335	D10	Plecto_MF_4	0.084100001	Empty	Empty	MF	4
336	D11	Plecto_MF_4	0.084299996	Empty	Empty	MF	4
337	D12	Plecto_MF_4	0.086300001	Empty	Empty	MF	4
338	E1	Plecto_MF_4	0.085500002	Empty	Empty	MF	4
339	E2	Plecto_MF_4	0.0845	Empty	Empty	MF	4
340	E3	Plecto_MF_4	0.085199997	Empty	Empty	MF	4
341	E4	Plecto_MF_4	0.084899999	Empty	Empty	MF	4
342	E5	Plecto_MF_4	0.0845	Empty	Empty	MF	4
